,Location,Subcategory,Hierarchy_Level,Data_Type,Current_Constant,Currency_Conversion,Year,RSP (USD Millions),Volume (millions of liters)
31,3,13,1,Total Value RSP,"Historic Constant 2021 Prices, Forecast Constant 2021 Prices","Historic Fixed 2021 Exchange Rates, Forecast Fixed 2021 Exchange Rates",2025,43.674,2.059e-05
32,3,13,1,Total Value RSP,"Historic Constant 2021 Prices, Forecast Constant 2021 Prices","Historic Fixed 2021 Exchange Rates, Forecast Fixed 2021 Exchange Rates",2026,43.874,2.0659e-05
33,4,13,1,Total Value RSP,"Historic Constant 2021 Prices, Forecast Constant 2021 Prices","Historic Fixed 2021 Exchange Rates, Forecast Fixed 2021 Exchange Rates",2016,105.017,3.1687000000000003e-05
34,4,13,1,Total Value RSP,"Historic Constant 2021 Prices, Forecast Constant 2021 Prices","Historic Fixed 2021 Exchange Rates, Forecast Fixed 2021 Exchange Rates",2017,109.752,3.1342e-05
35,4,13,1,Total Value RSP,"Historic Constant 2021 Prices, Forecast Constant 2021 Prices","Historic Fixed 2021 Exchange Rates, Forecast Fixed 2021 Exchange Rates",2018,120.731,3.2340000000000005e-05
36,4,13,1,Total Value RSP,"Historic Constant 2021 Prices, Forecast Constant 2021 Prices","Historic Fixed 2021 Exchange Rates, Forecast Fixed 2021 Exchange Rates",2019,130.441,3.2389000000000004e-05
37,4,13,1,Total Value RSP,"Historic Constant 2021 Prices, Forecast Constant 2021 Prices","Historic Fixed 2021 Exchange Rates, Forecast Fixed 2021 Exchange Rates",2020,115.441,3.1419e-05
38,4,13,1,Total Value RSP,"Historic Constant 2021 Prices, Forecast Constant 2021 Prices","Historic Fixed 2021 Exchange Rates, Forecast Fixed 2021 Exchange Rates",2021,113.945,3.2046e-05
39,4,13,1,Total Value RSP,"Historic Constant 2021 Prices, Forecast Constant 2021 Prices","Historic Fixed 2021 Exchange Rates, Forecast Fixed 2021 Exchange Rates",2022,116.414,3.2726999999999993e-05
40,4,13,1,Total Value RSP,"Historic Constant 2021 Prices, Forecast Constant 2021 Prices","Historic Fixed 2021 Exchange Rates, Forecast Fixed 2021 Exchange Rates",2023,119.955,3.3461e-05
41,4,13,1,Total Value RSP,"Historic Constant 2021 Prices, Forecast Constant 2021 Prices","Historic Fixed 2021 Exchange Rates, Forecast Fixed 2021 Exchange Rates",2024,123.931,3.4250999999999994e-05
42,4,13,1,Total Value RSP,"Historic Constant 2021 Prices, Forecast Constant 2021 Prices","Historic Fixed 2021 Exchange Rates, Forecast Fixed 2021 Exchange Rates",2025,128.169,3.5076e-05
43,4,13,1,Total Value RSP,"Historic Constant 2021 Prices, Forecast Constant 2021 Prices","Historic Fixed 2021 Exchange Rates, Forecast Fixed 2021 Exchange Rates",2026,132.546,3.5904e-05
